あ,,FALSE,a,i,u,e,o,,,,a,i,u,e,o,o,,,,
か,k,TRUE,ka,ki,ku,ke,ko,kya,kyu,kyo,ka,ki,ku,ke,ko,ko,kya,kyu,kyo,kyo
が,g,TRUE,ga,gi,gu,ge,go,gya,gyu,gyo,ga,gi,gu,ge,go,go,gya,gyu,gyo,gyo
さ,s,FALSE,sa,,su,se,so,,,,sa,,su,se,so,so,,,,
し,sh,FALSE,sha,shi,shu,she,sho,,,,sha,shi,shu,she,sho,sho,,,,
ざ,z,FALSE,za,,zu,ze,zo,,,,za,,zu,ze,zo,zo,,,,
じ,j,FALSE,ja,ji,ju,je,jo,,,,ja,ji,ju,je,jo,jo,,,,
た,t,FALSE,ta,,,te,to,,,,ta,,,te,to,to,,,,
ち,ch,FALSE,cha,chi,chu,,cho,,,,cha,chi,chu,,cho,cho,,,,
つ,ts,FALSE,,,tsu,,,,,,,,tsu,,,,,,,
だ,d,FALSE,da,,du,de,do,,,,da,,du,de,do,do,,,,
ぢ,j,FALSE,ja,ji,ju,je,jo,,,,ja,ji,ju,je,jo,jo,,,,
づ,z,FALSE,,,zu,,,,,,,,zu,,,,,,,
な,n,TRUE,na,ni,nu,ne,no,nya,nyu,nyo,na,ni,nu,ne,no,no,nya,nyu,nyo,nyo
は,h,TRUE,ha,hi,,he,ho,hya,hyu,hyo,ha,hi,,he,ho,ho,hya,hyu,hyo,hyo
ふ,f,FALSE,,,fu,,,,,,,,fu,,,,,,,
ば,b,TRUE,ba,bi,bu,be,bo,bya,byu,byo,ba,bi,bu,be,bo,bo,bya,byu,byo,byo
ぱ,p,TRUE,pa,pi,pu,pe,po,pya,pyu,pyo,pa,pi,pu,pe,po,po,pya,pyu,pyo,pyo
ま,m,TRUE,ma,mi,mu,me,mo,mya,myu,myo,ma,mi,mu,me,mo,mo,mya,myu,myo,myo
や,y,FALSE,ya,,yu,,yo,,,,ya,,yu,,yo,,,,,
ら,r,TRUE,ra,ri,ru,re,ro,rya,ryu,ryo,ra,ri,ru,re,ro,ro,rya,ryu,ryo,ryo
わ,w,FALSE,wa,,,,,,,,,,,,,,,,,
ん,n,FALSE,n,,,,,,,,,,,,,,,,,
っか,kk,TRUE,kka,kki,kku,kke,kko,kkya,kkyu,kkyo,kka,kki,kku,kke,kko,kko,kkya,kkyu,kkyo,kkyo
っさ,ss,FALSE,ssa,,ssu,sse,sso,,,,ssa,,ssu,sse,sso,sso,,,,
っし,ssh,FALSE,ssha,sshi,sshu,sshe,ssho,,,,ssha,sshi,sshu,sshe,ssho,ssho,,,,
った,tt,FALSE,tta,,,tte,tto,,,,tta,,,tte,tto,tto,,,,
っち,cch,FALSE,ccha,cchi,cchu,,ccho,,,,ccha,cchi,cchu,,ccho,ccho,,,,
っつ,tts,FALSE,,,ttsu,,,,,,,,ttsu,,,,,,,
っぱ,pp,TRUE,ppa,ppi,ppu,ppe,ppo,ppya,ppyu,ppyo,ppa,ppi,ppu,ppe,ppo,ppo,ppya,ppyu,ppyo,ppyo