あ,ա,ա
い,ի,ի
う,ու,ու
え,ե,ե
お,ո,ո
ああ,աա,աա
いい,իի,իի
うう,ուու,ուու
ええ,եե,եե
おう,ոո,ոո
おお,ոո,ոո
えい,եի,եի
か,քա,քա
き,քի,քի
く,քու,քու
け,քե,քե
こ,քո,քո
きゃ,քյա,քյա
きゅ,քյու,քյու
きょ,քյո,քյո
かあ,քաա,քաա
きい,քիի,քիի
くう,քուու,քուու
けえ,քեե,քեե
こう,քոո,քոո
こお,քոո,քոո
きゃあ,քյայա,քյայա
きゅう,քյուու,քյուու
きょう,քյոո,քյոո
きょお,քյոո,քյոո
けい,քեի,քեի
が,գա,գա
ぎ,գի,գի
ぐ,գու,գու
げ,գե,գե
ご,գո,գո
ぎゃ,գյա,գյա
ぎゅ,գյու,գյու
ぎょ,գյո,գյո
があ,գաա,գաա
ぎい,գիի,գիի
ぐう,գուու,գուու
げえ,գեե,գեե
ごう,գոո,գոո
ごお,գոո,գոո
ぎゃあ,գյայա,գյայա
ぎゅう,գյուու,գյուու
ぎょう,գյոո,գյոո
ぎょお,գյոո,գյոո
げい,գեի,գեի
さ,սա,սա
すぃ,սի,սի
す,սու,սու
せ,սե,սե
そ,սո,սո
さあ,սաա,սաա
すぃい,սիի,սիի
すう,սուու,սուու
せえ,սեե,սեե
そう,սոո,սոո
そお,սոո,սոո
せい,սեի,սեի
しゃ,շա,շա
し,շի,շի
しゅ,շու,շու
しぇ,շե,շե
しょ,շո,շո
しゃあ,շաա,շաա
しい,շիի,շիի
しゅう,շուու,շուու
しぇえ,շեե,շեե
しょう,շոո,շոո
しょお,շոո,շոո
しぇい,շեի,շեի
ざ,ձա,ձա
ずぃ,ձի,ձի
ず,ձու,ձու
ぜ,ձե,ձե
ぞ,ձո,ձո
ざあ,ձաա,ձաա
ずぃい,ձիի,ձիի
ずう,ձուու,ձուու
ぜえ,ձեե,ձեե
ぞう,ձոո,ձոո
ぞお,ձոո,ձոո
ぜい,ձեի,ձեի
じゃ,զա,զա
じ,զի,զի
じゅ,զու,զու
じぇ,զե,զե
じょ,զո,զո
じゃあ,զաա,զաա
じい,զիի,զիի
じゅう,զուու,զուու
じぇえ,զեե,զեե
じょう,զոո,զոո
じょお,զոո,զոո
じぇい,զեի,զեի
た,թա,թա
てぃ,թի,թի
とぅ,թու,թու
て,թե,թե
と,թո,թո
たあ,թաա,թաա
てぃい,թիի,թիի
とぅう,թուու,թուու
てえ,թեե,թեե
とう,թոո,թոո
とお,թոո,թոո
てい,թեի,թեի
ちゃ,չա,չա
ち,չի,չի
ちゅ,չու,չու
ちぇ,չե,չե
ちょ,չո,չո
ちゃあ,չաա,չաա
ちい,չիի,չիի
ちゅう,չուու,չուու
ちぇえ,չեե,չեե
ちょう,չոո,չոո
ちょお,չոո,չոո
ちぇい,չեի,չեի
つぁ,ցա,ցա
つぃ,ցի,ցի
つ,ցու,ցու
つぇ,ցե,ցե
つぉ,ցո,ցո
つぁあ,ցաա,ցաա
つぃい,ցիի,ցիի
つう,ցուու,ցուու
つぇえ,ցեե,ցեե
つぉう,ցոո,ցոո
つぉお,ցոո,ցոո
つぇい,ցեի,ցեի
だ,դա,դա
でぃ,դի,դի
どぅ,դու,դու
で,դե,դե
ど,դո,դո
だあ,դաա,դաա
でぃい,դիի,դիի
どぅう,դուու,դուու
でえ,դեե,դեե
どう,դոո,դոո
どお,դոո,դոո
でい,դեի,դեի
ぢゃ,զա,զա
ぢ,զի,զի
ぢゅ,զու,զու
ぢぇ,զե,զե
ぢょ,զո,զո
ぢゃあ,զաա,զաա
ぢい,զիի,զիի
ぢゅう,զուու,զուու
ぢぇえ,զեե,զեե
ぢょう,զոո,զոո
ぢょお,զոո,զոո
ぢぇい,զեի,զեի
づ,ձու,ձու
づう,ձուու,ձուու
な,նա,նա
に,նի,նի
ぬ,նու,նու
ね,նե,նե
の,նո,նո
にゃ,նյա,նյա
にゅ,նյու,նյու
にょ,նյո,նյո
なあ,նաա,նաա
にい,նիի,նիի
ぬう,նուու,նուու
ねえ,նեե,նեե
のう,նոո,նոո
のお,նոո,նոո
にゃあ,նյայա,նյայա
にゅう,նյուու,նյուու
にょう,նյոո,նյոո
にょお,նյոո,նյոո
ねい,նեի,նեի
は,հա,հա
ひ,հի,հի
へ,հե,հե
ほ,հո,հո
ひゃ,հյա,հյա
ひゅ,հյու,հյու
ひょ,հյո,հյո
はあ,հաա,հաա
ひい,հիի,հիի
へえ,հեե,հեե
ほう,հոո,հոո
ほお,հոո,հոո
ひゃあ,հյայա,հյայա
ひゅう,հյուու,հյուու
ひょう,հյոո,հյոո
ひょお,հյոո,հյոո
へい,հեի,հեի
ふぁ,ֆա,ֆա
ふぃ,ֆի,ֆի
ふ,ֆու,ֆու
ふぇ,ֆե,ֆե
ふぉ,ֆո,ֆո
ふぁあ,ֆաա,ֆաա
ふぃい,ֆիի,ֆիի
ふう,ֆուու,ֆուու
ふぇえ,ֆեե,ֆեե
ふぉう,ֆոո,ֆոո
ふぉお,ֆոո,ֆոո
ふぇい,ֆեի,ֆեի
ば,բա,բա
び,բի,բի
ぶ,բու,բու
べ,բե,բե
ぼ,բո,բո
びゃ,բյա,բյա
びゅ,բյու,բյու
びょ,բյո,բյո
ばあ,բաա,բաա
びい,բիի,բիի
ぶう,բուու,բուու
べえ,բեե,բեե
ぼう,բոո,բոո
ぼお,բոո,բոո
びゃあ,բյայա,բյայա
びゅう,բյուու,բյուու
びょう,բյոո,բյոո
びょお,բյոո,բյոո
べい,բեի,բեի
ぱ,փա,փա
ぴ,փի,փի
ぷ,փու,փու
ぺ,փե,փե
ぽ,փո,փո
ぴゃ,փյա,փյա
ぴゅ,փյու,փյու
ぴょ,փյո,փյո
ぱあ,փաա,փաա
ぴい,փիի,փիի
ぷう,փուու,փուու
ぺえ,փեե,փեե
ぽう,փոո,փոո
ぽお,փոո,փոո
ぴゃあ,փյայա,փյայա
ぴゅう,փյուու,փյուու
ぴょう,փյոո,փյոո
ぴょお,փյոո,փյոո
ぺい,փեի,փեի
ま,մա,մա
み,մի,մի
む,մու,մու
め,մե,մե
も,մո,մո
みゃ,մյա,մյա
みゅ,մյու,մյու
みょ,մյո,մյո
まあ,մաա,մաա
みい,միի,միի
むう,մուու,մուու
めえ,մեե,մեե
もう,մոո,մոո
もお,մոո,մոո
みゃあ,մյայա,մյայա
みゅう,մյուու,մյուու
みょう,մյոո,մյոո
みょお,մյոո,մյոո
めい,մեի,մեի
や,յա,յա
ゆ,յու,յու
よ,յո,յո
やあ,յաա,յաա
ゆう,յուու,յուու
よう,յոո,յոո
よお,յոո,յոո
ら,րա,րա
り,րի,րի
る,րու,րու
れ,րե,րե
ろ,րո,րո
りゃ,րյա,րյա
りゅ,րյու,րյու
りょ,րյո,րյո
らあ,րաա,րաա
りい,րիի,րիի
るう,րուու,րուու
れえ,րեե,րեե
ろう,րոո,րոո
ろお,րոո,րոո
りゃあ,րյայա,րյայա
りゅう,րյուու,րյուու
りょう,րյոո,րյոո
りょお,րյոո,րյոո
れい,րեի,րեի
わ,ուա,ուա
うぃ,ուի,ուի
うぇ,ուե,ուե
うぉ,ուո,ուո
わあ,ուաա,ուաա
うぃい,ուիի,ուիի
うぇえ,ուեե,ուեե
うぉう,ուոո,ուոո
うぉお,ուոո,ուոո
うぇい,ուեի,ուեի
ん,ն,ն
を,ո,ո
っ,,
んあ,ն’ա,ն’ա
んい,ն’ի,ն’ի
んう,ն’ու,ն’ու
んえ,ն’ե,ն’ե
んお,ն’ո,ն’ո
んや,ն’յա,ն’յա
んゆ,ն’յու,ն’յու
んよ,ն’յո,ն’յո
んああ,ն’աա,ն’աա
んいい,ն’իի,ն’իի
んうう,ն’ուու,ն’ուու
んええ,ն’եե,ն’եե
んおう,ն’ոո,ն’ոո
んおお,ն’ոո,ն’ոո
んやあ,ն’յայա,ն’յայա
んゆう,ն’յուու,ն’յուու
んよう,ն’յոո,ն’յոո
んよお,ն’յոո,ն’յոո
んえい,ն’եի,ն’եի
っか,կա,կա
っき,կի,կի
っく,կու,կու
っけ,կե,կե
っこ,կո,կո
っきゃ,կյա,կյա
っきゅ,կյու,կյու
っきょ,կյո,կյո
っかあ,կաա,կաա
っきい,կիի,կիի
っくう,կուու,կուու
っけえ,կեե,կեե
っこう,կոո,կոո
っこお,կոո,կոո
っきゃあ,կյայա,կյայա
っきゅう,կյուու,կյուու
っきょう,կյոո,կյոո
っきょお,կյոո,կյոո
っけい,կեի,կեի
っさ,սսա,սսա
っすぃ,սսի,սսի
っす,սսու,սսու
っせ,սսե,սսե
っそ,սսո,սսո
っさあ,սսաա,սսաա
っすぃい,սսիի,սսիի
っすう,սսուու,սսուու
っせえ,սսեե,սսեե
っそう,սսոո,սսոո
っそお,սսոո,սսոո
っせい,սսեի,սսեի
っしゃ,ծծա,ծծա
っし,ծծի,ծծի
っしゅ,ծծու,ծծու
っしぇ,ծծե,ծծե
っしょ,ծծո,ծծո
っしゃあ,ծծաա,ծծաա
っしい,ծծիի,ծծիի
っしゅう,ծծուու,ծծուու
っしぇえ,ծծեե,ծծեե
っしょう,ծծոո,ծծոո
っしょお,ծծոո,ծծոո
っしぇい,ծծեի,ծծեի
った,տա,տա
ってぃ,տի,տի
っとぅ,տու,տու
って,տե,տե
っと,տո,տո
ったあ,տաա,տաա
ってぃい,տիի,տիի
っとぅう,տուու,տուու
ってえ,տեե,տեե
っとう,տոո,տոո
っとお,տոո,տոո
ってい,տեի,տեի
っちゃ,չչա,չչա
っち,չչի,չչի
っちゅ,չչու,չչու
っちぇ,չչե,չչե
っちょ,չչո,չչո
っちゃあ,չչաա,չչաա
っちい,չչիի,չչիի
っちゅう,չչուու,չչուու
っちぇえ,չչեե,չչեե
っちょう,չչոո,չչոո
っちょお,չչոո,չչոո
っちぇい,չչեի,չչեի
っつぁ,ցցա,ցցա
っつぃ,ցցի,ցցի
っつ,ցցու,ցցու
っつぇ,ցցե,ցցե
っつぉ,ցցո,ցցո
っつぁあ,ցցաա,ցցաա
っつぃい,ցցիի,ցցիի
っつう,ցցուու,ցցուու
っつぇえ,ցցեե,ցցեե
っつぉう,ցցոո,ցցոո
っつぉお,ցցոո,ցցոո
っつぇい,ցցեի,ցցեի
っぱ,պա,պա
っぴ,պի,պի
っぷ,պու,պու
っぺ,պե,պե
っぽ,պո,պո
っぴゃ,պյա,պյա
っぴゅ,պյու,պյու
っぴょ,պյո,պյո
っぱあ,պաա,պաա
っぴい,պիի,պիի
っぷう,պուու,պուու
っぺえ,պեե,պեե
っぽう,պոո,պոո
っぽお,պոո,պոո
っぴゃあ,պյայա,պյայա
っぴゅう,պյուու,պյուու
っぴょう,պյոո,պյոո
っぴょお,պյոո,պյոո
っぺい,պեի,պեի
ぁ,ա,ա
ぃ,ի,ի
ぅ,ու,ու
ぇ,ե,ե
ぉ,ո,ո
ゃ,յա,յա
ゅ,յու,յու
ょ,յո,յո
ぁあ,աա,աա
ぃい,իի,իի
ぅう,ուու,ուու
ぇえ,եե,եե
ぉう,ոո,ոո
ぉお,ոո,ոո
ゃあ,յաա,յաա
ゅう,յուու,յուու
ょう,յոո,յոո
ょお,յոո,յոո
ぇい,եի,եի
ゔぁ,վա,վա
ゔぃ,վի,վի
ゔ,վու,վու
ゔぇ,վե,վե
ゔぉ,վո,վո
ゔぁあ,վաա,վաա
ゔぃい,վիի,վիի
ゔう,վուու,վուու
ゔぇえ,վեե,վեե
ゔぉう,վոո,վոո
ゔぉお,վոո,վոո
ゔぇい,վեի,վեի