あ,ა,ა
い,ი,ი
う,უ,უ
え,ე,ე
お,ო,ო
ああ,აა,აა
いい,იი,იი
うう,უუ,უუ
ええ,ეე,ეე
おう,ოო,ოო
おお,ოო,ოო
えい,ეი,ეი
か,კა,კა
き,კი,კი
く,კუ,კუ
け,კე,კე
こ,კო,კო
きゃ,კია,კია
きゅ,კიუ,კიუ
きょ,კიო,კიო
かあ,კაა,კაა
きい,კიი,კიი
くう,კუუ,კუუ
けえ,კეე,კეე
こう,კოო,კოო
こお,კოო,კოო
きゃあ,კიაა,კიაა
きゅう,კიუუ,კიუუ
きょう,კიოო,კიოო
きょお,კიოო,კიოო
けい,კეი,კეი
が,გა,გა
ぎ,გი,გი
ぐ,გუ,გუ
げ,გე,გე
ご,გო,გო
ぎゃ,გია,გია
ぎゅ,გიუ,გიუ
ぎょ,გიო,გიო
があ,გაა,გაა
ぎい,გიი,გიი
ぐう,გუუ,გუუ
げえ,გეე,გეე
ごう,გოო,გოო
ごお,გოო,გოო
ぎゃあ,გიაა,გიაა
ぎゅう,გიუუ,გიუუ
ぎょう,გიოო,გიოო
ぎょお,გიოო,გიოო
げい,გეი,გეი
さ,სა,სა
すぃ,სი,სი
す,სუ,სუ
せ,სე,სე
そ,სო,სო
さあ,საა,საა
すぃい,სიი,სიი
すう,სუუ,სუუ
せえ,სეე,სეე
そう,სოო,სოო
そお,სოო,სოო
せい,სეი,სეი
しゃ,შა,შა
し,ში,ში
しゅ,შუ,შუ
しぇ,შე,შე
しょ,შო,შო
しゃあ,შაა,შაა
しい,შიი,შიი
しゅう,შუუ,შუუ
しぇえ,შეე,შეე
しょう,შოო,შოო
しょお,შოო,შოო
しぇい,შეი,შეი
ざ,ძა,ძა
ずぃ,ძი,ძი
ず,ძუ,ძუ
ぜ,ძე,ძე
ぞ,ძო,ძო
ざあ,ძაა,ძაა
ずぃい,ძიი,ძიი
ずう,ძუუ,ძუუ
ぜえ,ძეე,ძეე
ぞう,ძოო,ძოო
ぞお,ძოო,ძოო
ぜい,ძეი,ძეი
じゃ,ჯა,ჯა
じ,ჯი,ჯი
じゅ,ჯუ,ჯუ
じぇ,ჯე,ჯე
じょ,ჯო,ჯო
じゃあ,ჯაა,ჯაა
じい,ჯიი,ჯიი
じゅう,ჯუუ,ჯუუ
じぇえ,ჯეე,ჯეე
じょう,ჯოო,ჯოო
じょお,ჯოო,ჯოო
じぇい,ჯეი,ჯეი
た,ტა,ტა
てぃ,ტი,ტი
とぅ,ტუ,ტუ
て,ტე,ტე
と,ტო,ტო
たあ,ტაა,ტაა
てぃい,ტიი,ტიი
とぅう,ტუუ,ტუუ
てえ,ტეე,ტეე
とう,ტოო,ტოო
とお,ტოო,ტოო
てい,ტეი,ტეი
ちゃ,ჩა,ჩა
ち,ჩი,ჩი
ちゅ,ჩუ,ჩუ
ちぇ,ჩე,ჩე
ちょ,ჩო,ჩო
ちゃあ,ჩაა,ჩაა
ちい,ჩიი,ჩიი
ちゅう,ჩუუ,ჩუუ
ちぇえ,ჩეე,ჩეე
ちょう,ჩოო,ჩოო
ちょお,ჩოო,ჩოო
ちぇい,ჩეი,ჩეი
つぁ,ცა,ცა
つぃ,ცი,ცი
つ,ცუ,ცუ
つぇ,ცე,ცე
つぉ,ცო,ცო
つぁあ,ცაა,ცაა
つぃい,ციი,ციი
つう,ცუუ,ცუუ
つぇえ,ცეე,ცეე
つぉう,ცოო,ცოო
つぉお,ცოო,ცოო
つぇい,ცეი,ცეი
だ,და,და
でぃ,დი,დი
どぅ,დუ,დუ
で,დე,დე
ど,დო,დო
だあ,დაა,დაა
でぃい,დიი,დიი
どぅう,დუუ,დუუ
でえ,დეე,დეე
どう,დოო,დოო
どお,დოო,დოო
でい,დეი,დეი
ぢゃ,ჯა,ჯა
ぢ,ჯი,ჯი
ぢゅ,ჯუ,ჯუ
ぢぇ,ჯე,ჯე
ぢょ,ჯო,ჯო
ぢゃあ,ჯაა,ჯაა
ぢい,ჯიი,ჯიი
ぢゅう,ჯუუ,ჯუუ
ぢぇえ,ჯეე,ჯეე
ぢょう,ჯოო,ჯოო
ぢょお,ჯოო,ჯოო
ぢぇい,ჯეი,ჯეი
づ,ძუ,ძუ
づう,ძუუ,ძუუ
な,ნა,ნა
に,ნი,ნი
ぬ,ნუ,ნუ
ね,ნე,ნე
の,ნო,ნო
にゃ,ნია,ნია
にゅ,ნიუ,ნიუ
にょ,ნიო,ნიო
なあ,ნაა,ნაა
にい,ნიი,ნიი
ぬう,ნუუ,ნუუ
ねえ,ნეე,ნეე
のう,ნოო,ნოო
のお,ნოო,ნოო
にゃあ,ნიაა,ნიაა
にゅう,ნიუუ,ნიუუ
にょう,ნიოო,ნიოო
にょお,ნიოო,ნიოო
ねい,ნეი,ნეი
は,ჰა,ჰა
ひ,ჰი,ჰი
へ,ჰე,ჰე
ほ,ჰო,ჰო
ひゃ,ჰია,ჰია
ひゅ,ჰიუ,ჰიუ
ひょ,ჰიო,ჰიო
はあ,ჰაა,ჰაა
ひい,ჰიი,ჰიი
へえ,ჰეე,ჰეე
ほう,ჰოო,ჰოო
ほお,ჰოო,ჰოო
ひゃあ,ჰიაა,ჰიაა
ひゅう,ჰიუუ,ჰიუუ
ひょう,ჰიოო,ჰიოო
ひょお,ჰიოო,ჰიოო
へい,ჰეი,ჰეი
ふぁ,ჶა,ჶა
ふぃ,ჶი,ჶი
ふ,ჶუ,ჶუ
ふぇ,ჶე,ჶე
ふぉ,ჶო,ჶო
ふぁあ,ჶაა,ჶაა
ふぃい,ჶიი,ჶიი
ふう,ჶუუ,ჶუუ
ふぇえ,ჶეე,ჶეე
ふぉう,ჶოო,ჶოო
ふぉお,ჶოო,ჶოო
ふぇい,ჶეი,ჶეი
ば,ბა,ბა
び,ბი,ბი
ぶ,ბუ,ბუ
べ,ბე,ბე
ぼ,ბო,ბო
びゃ,ბია,ბია
びゅ,ბიუ,ბიუ
びょ,ბიო,ბიო
ばあ,ბაა,ბაა
びい,ბიი,ბიი
ぶう,ბუუ,ბუუ
べえ,ბეე,ბეე
ぼう,ბოო,ბოო
ぼお,ბოო,ბოო
びゃあ,ბიაა,ბიაა
びゅう,ბიუუ,ბიუუ
びょう,ბიოო,ბიოო
びょお,ბიოო,ბიოო
べい,ბეი,ბეი
ぱ,ჴა,ჴა
ぴ,ჴი,ჴი
ぷ,ჴუ,ჴუ
ぺ,ჴე,ჴე
ぽ,ჴო,ჴო
ぴゃ,ჴია,ჴია
ぴゅ,ჴიუ,ჴიუ
ぴょ,ჴიო,ჴიო
ぱあ,ჴაა,ჴაა
ぴい,ჴიი,ჴიი
ぷう,ჴუუ,ჴუუ
ぺえ,ჴეე,ჴეე
ぽう,ჴოო,ჴოო
ぽお,ჴოო,ჴოო
ぴゃあ,ჴიაა,ჴიაა
ぴゅう,ჴიუუ,ჴიუუ
ぴょう,ჴიოო,ჴიოო
ぴょお,ჴიოო,ჴიოო
ぺい,ჴეი,ჴეი
ま,მა,მა
み,მი,მი
む,მუ,მუ
め,მე,მე
も,მო,მო
みゃ,მია,მია
みゅ,მიუ,მიუ
みょ,მიო,მიო
まあ,მაა,მაა
みい,მიი,მიი
むう,მუუ,მუუ
めえ,მეე,მეე
もう,მოო,მოო
もお,მოო,მოო
みゃあ,მიაა,მიაა
みゅう,მიუუ,მიუუ
みょう,მიოო,მიოო
みょお,მიოო,მიოო
めい,მეი,მეი
や,ია,ია
ゆ,იუ,იუ
よ,იო,იო
やあ,იაა,იაა
ゆう,იუუ,იუუ
よう,იოო,იოო
よお,იოო,იოო
ら,რა,რა
り,რი,რი
る,რუ,რუ
れ,რე,რე
ろ,რო,რო
りゃ,რია,რია
りゅ,რიუ,რიუ
りょ,რიო,რიო
らあ,რაა,რაა
りい,რიი,რიი
るう,რუუ,რუუ
れえ,რეე,რეე
ろう,როო,როო
ろお,როო,როო
りゃあ,რიაა,რიაა
りゅう,რიუუ,რიუუ
りょう,რიოო,რიოო
りょお,რიოო,რიოო
れい,რეი,რეი
わ,უა,უა
うぃ,უი,უი
うぇ,უე,უე
うぉ,უო,უო
わあ,უაა,უაა
うぃい,უიი,უიი
うぇえ,უეე,უეე
うぉう,უოო,უოო
うぉお,უოო,უოო
うぇい,უეი,უეი
ん,ნ,ნ
を,ო,ო
っ,,
んあ,ნ'ა,ნ'ა
んい,ნ'ი,ნ'ი
んう,ნ'უ,ნ'უ
んえ,ნ'ე,ნ'ე
んお,ნ'ო,ნ'ო
んや,ნ'ია,ნ'ია
んゆ,ნ'იუ,ნ'იუ
んよ,ნ'იო,ნ'იო
んああ,ნ'აა,ნ'აა
んいい,ნ'იი,ნ'იი
んうう,ნ'უუ,ნ'უუ
んええ,ნ'ეე,ნ'ეე
んおう,ნ'ოო,ნ'ოო
んおお,ნ'ოო,ნ'ოო
んやあ,ნ'იაა,ნ'იაა
んゆう,ნ'იუუ,ნ'იუუ
んよう,ნ'იოო,ნ'იოო
んよお,ნ'იოო,ნ'იოო
んえい,ნ'ეი,ნ'ეი
っか,კკა,კკა
っき,კკი,კკი
っく,კკუ,კკუ
っけ,კკე,კკე
っこ,კკო,კკო
っきゃ,კკია,კკია
っきゅ,კკიუ,კკიუ
っきょ,კკიო,კკიო
っかあ,კკაა,კკაა
っきい,კკიი,კკიი
っくう,კკუუ,კკუუ
っけえ,კკეე,კკეე
っこう,კკოო,კკოო
っこお,კკოო,კკოო
っきゃあ,კკიაა,კკიაა
っきゅう,კკიუუ,კკიუუ
っきょう,კკიოო,კკიოო
っきょお,კკიოო,კკიოო
っけい,კკეი,კკეი
っさ,სსა,სსა
っすぃ,სსი,სსი
っす,სსუ,სსუ
っせ,სსე,სსე
っそ,სსო,სსო
っさあ,სსაა,სსაა
っすぃい,სსიი,სსიი
っすう,სსუუ,სსუუ
っせえ,სსეე,სსეე
っそう,სსოო,სსოო
っそお,სსოო,სსოო
っせい,სსეი,სსეი
っしゃ,შშა,შშა
っし,შში,შში
っしゅ,შშუ,შშუ
っしぇ,შშე,შშე
っしょ,შშო,შშო
っしゃあ,შშაა,შშაა
っしい,შშიი,შშიი
っしゅう,შშუუ,შშუუ
っしぇえ,შშეე,შშეე
っしょう,შშოო,შშოო
っしょお,შშოო,შშოო
っしぇい,შშეი,შშეი
った,ტტა,ტტა
ってぃ,ტტი,ტტი
っとぅ,ტტუ,ტტუ
って,ტტე,ტტე
っと,ტტო,ტტო
ったあ,ტტაა,ტტაა
ってぃい,ტტიი,ტტიი
っとぅう,ტტუუ,ტტუუ
ってえ,ტტეე,ტტეე
っとう,ტტოო,ტტოო
っとお,ტტოო,ტტოო
ってい,ტტეი,ტტეი
っちゃ,ჩჩა,ჩჩა
っち,ჩჩი,ჩჩი
っちゅ,ჩჩუ,ჩჩუ
っちぇ,ჩჩე,ჩჩე
っちょ,ჩჩო,ჩჩო
っちゃあ,ჩჩაა,ჩჩაა
っちい,ჩჩიი,ჩჩიი
っちゅう,ჩჩუუ,ჩჩუუ
っちぇえ,ჩჩეე,ჩჩეე
っちょう,ჩჩოო,ჩჩოო
っちょお,ჩჩოო,ჩჩოო
っちぇい,ჩჩეი,ჩჩეი
っつぁ,პპა,პპა
っつぃ,პპი,პპი
っつ,პპუ,პპუ
っつぇ,პპე,პპე
っつぉ,პპო,პპო
っつぁあ,პპაა,პპაა
っつぃい,პპიი,პპიი
っつう,პპუუ,პპუუ
っつぇえ,პპეე,პპეე
っつぉう,პპოო,პპოო
っつぉお,პპოო,პპოო
っつぇい,პპეი,პპეი
っぱ,ჴჴა,ჴჴა
っぴ,ჴჴი,ჴჴი
っぷ,ჴჴუ,ჴჴუ
っぺ,ჴჴე,ჴჴე
っぽ,ჴჴო,ჴჴო
っぴゃ,ჴჴია,ჴჴია
っぴゅ,ჴჴიუ,ჴჴიუ
っぴょ,ჴჴიო,ჴჴიო
っぱあ,ჴჴაა,ჴჴაა
っぴい,ჴჴიი,ჴჴიი
っぷう,ჴჴუუ,ჴჴუუ
っぺえ,ჴჴეე,ჴჴეე
っぽう,ჴჴოო,ჴჴოო
っぽお,ჴჴოო,ჴჴოო
っぴゃあ,ჴჴიაა,ჴჴიაა
っぴゅう,ჴჴიუუ,ჴჴიუუ
っぴょう,ჴჴიოო,ჴჴიოო
っぴょお,ჴჴიოო,ჴჴიოო
っぺい,ჴჴეი,ჴჴეი
ぁ,ა,ა
ぃ,ი,ი
ぅ,უ,უ
ぇ,ე,ე
ぉ,ო,ო
ゃ,ია,ია
ゅ,იუ,იუ
ょ,იო,იო
ぁあ,აა,აა
ぃい,იი,იი
ぅう,უუ,უუ
ぇえ,ეე,ეე
ぉう,ოო,ოო
ぉお,ოო,ოო
ゃあ,იაა,იაა
ゅう,იუუ,იუუ
ょう,იოო,იოო
ょお,იოო,იოო
ぇい,ეი,ეი
ゔぁ,ვა,ვა
ゔぃ,ვი,ვი
ゔ,ვუ,ვუ
ゔぇ,ვე,ვე
ゔぉ,ვო,ვო
ゔぁあ,ვაა,ვაა
ゔぃい,ვიი,ვიი
ゔう,ვუუ,ვუუ
ゔぇえ,ვეე,ვეე
ゔぉう,ვოო,ვოო
ゔぉお,ვოო,ვოო
ゔぇい,ვეი,ვეი