あ,а,а
い,и,й
う,у,у
え,э,э
お,о,о
ああ,аa,аa
いい,ии,ий
うう,уу,уу
ええ,ээ,ээ
おう,оо,оо
おお,оо,оо
えい,эи,эй
か,ка,ка
き,ки,кй
く,ку,ку
け,кэ,кэ
こ,ко,ко
きゃ,кя,кя
きゅ,кю,кю
きょ,кё,кё
かあ,каa,каa
きい,кии,кий
くう,куу,куу
けえ,кээ,кээ
こう,коо,коо
こお,коо,коо
きゃあ,кяa,кяa
きゅう,кюу,кюу
きょう,кёо,кёо
きょお,кёо,кёо
けい,кэи,кэй
が,га,га
ぎ,ги,гй
ぐ,гу,гу
げ,гэ,гэ
ご,го,го
ぎゃ,гя,гя
ぎゅ,гю,гю
ぎょ,гё,гё
があ,гаa,гаa
ぎい,гии,гий
ぐう,гуу,гуу
げえ,гээ,гээ
ごう,гоо,гоо
ごお,гоо,гоо
ぎゃあ,гяa,гяa
ぎゅう,гюу,гюу
ぎょう,гёо,гёо
ぎょお,гёо,гёо
げい,гэи,гэй
さ,са,са
すぃ,си,сй
す,су,су
せ,сэ,сэ
そ,со,со
さあ,саa,саa
すぃい,сии,сий
すう,суу,суу
せえ,сээ,сээ
そう,соо,соо
そお,соо,соо
せい,сэи,сэй
しゃ,ся,ся
し,си,сй
しゅ,сю,сю
しぇ,сэ,сэ
しょ,сё,сё
しゃあ,сяa,сяa
しい,сии,сий
しゅう,сюу,сюу
しぇえ,сээ,сээ
しょう,сёо,сёо
しょお,сёо,сёо
しぇい,сэи,сэй
ざ,дза,дза
ずぃ,дзи,дзй
ず,дзу,дзу
ぜ,дзэ,дзэ
ぞ,дзо,дзо
ざあ,дзаa,дзаa
ずぃい,дзии,дзий
ずう,дзуу,дзуу
ぜえ,дзээ,дзээ
ぞう,дзоо,дзоо
ぞお,дзоо,дзоо
ぜい,дзэи,дзэй
じゃ,дзя,дзя
じ,дзи,дзй
じゅ,дзю,дзю
じぇ,дзэ,дзэ
じょ,дзё,дзё
じゃあ,дзяa,дзяa
じい,дзии,дзий
じゅう,дзюу,дзюу
じぇえ,дзээ,дзээ
じょう,дзёо,дзёо
じょお,дзёо,дзёо
じぇい,дзэи,дзэй
た,та,та
てぃ,ти,тй
とぅ,ту,ту
て,тэ,тэ
と,то,то
たあ,таa,таa
てぃい,тии,тий
とぅう,туу,туу
てえ,тээ,тээ
とう,тоо,тоо
とお,тоо,тоо
てい,тэи,тэй
ちゃ,тя,тя
ち,ти,тй
ちゅ,тю,тю
ちぇ,тэ,тэ
ちょ,тё,тё
ちゃあ,тяa,тяa
ちい,тии,тий
ちゅう,тюу,тюу
ちぇえ,тээ,тээ
ちょう,тёо,тёо
ちょお,тёо,тёо
ちぇい,тэи,тэй
つぁ,ца,ца
つぃ,ци,цй
つ,цу,цу
つぇ,цэ,цэ
つぉ,цо,цо
つぁあ,цаa,цаa
つぃい,ции,ций
つう,цуу,цуу
つぇえ,цээ,цээ
つぉう,цоо,цоо
つぉお,цоо,цоо
つぇい,цэи,цэй
だ,да,да
でぃ,ди,дй
どぅ,ду,ду
で,дэ,дэ
ど,до,до
だあ,даa,даa
でぃい,дии,дий
どぅう,дуу,дуу
でえ,дээ,дээ
どう,доо,доо
どお,доо,доо
でい,дэи,дэй
ぢゃ,дзя,дзя
ぢ,дзи,дзй
ぢゅ,дзю,дзю
ぢぇ,дзэ,дзэ
ぢょ,дзё,дзё
ぢゃあ,дзяa,дзяa
ぢい,дзии,дзий
ぢゅう,дзюу,дзюу
ぢぇえ,дзээ,дзээ
ぢょう,дзёо,дзёо
ぢょお,дзёо,дзёо
ぢぇい,дзэи,дзэй
づ,дзу,дзу
づう,дзуу,дзуу
な,на,на
に,ни,нй
ぬ,ну,ну
ね,нэ,нэ
の,но,но
にゃ,ня,ня
にゅ,ню,ню
にょ,нё,нё
なあ,наa,наa
にい,нии,ний
ぬう,нуу,нуу
ねえ,нээ,нээ
のう,ноо,ноо
のお,ноо,ноо
にゃあ,няa,няa
にゅう,нюу,нюу
にょう,нёо,нёо
にょお,нёо,нёо
ねい,нэи,нэй
は,ха,ха
ひ,хи,хй
へ,хэ,хэ
ほ,хо,хо
ひゃ,хя,хя
ひゅ,хю,хю
ひょ,хё,хё
はあ,хаa,хаa
ひい,хии,хий
へえ,хээ,хээ
ほう,хоо,хоо
ほお,хоо,хоо
ひゃあ,хяa,хяa
ひゅう,хюу,хюу
ひょう,хёо,хёо
ひょお,хёо,хёо
へい,хэи,хэй
ふぁ,фа,фа
ふぃ,фи,фй
ふ,фу,фу
ふぇ,фэ,фэ
ふぉ,фо,фо
ふぁあ,фаa,фаa
ふぃい,фии,фий
ふう,фуу,фуу
ふぇえ,фээ,фээ
ふぉう,фоо,фоо
ふぉお,фоо,фоо
ふぇい,фэи,фэй
ば,ба,ба
び,би,бй
ぶ,бу,бу
べ,бэ,бэ
ぼ,бо,бо
びゃ,бя,бя
びゅ,бю,бю
びょ,бё,бё
ばあ,баa,баa
びい,бии,бий
ぶう,буу,буу
べえ,бээ,бээ
ぼう,боо,боо
ぼお,боо,боо
びゃあ,бяa,бяa
びゅう,бюу,бюу
びょう,бёо,бёо
びょお,бёо,бёо
べい,бэи,бэй
ぱ,па,па
ぴ,пи,пй
ぷ,пу,пу
ぺ,пэ,пэ
ぽ,по,по
ぴゃ,пя,пя
ぴゅ,пю,пю
ぴょ,пё,пё
ぱあ,паa,паa
ぴい,пии,пий
ぷう,пуу,пуу
ぺえ,пээ,пээ
ぽう,поо,поо
ぽお,поо,поо
ぴゃあ,пяa,пяa
ぴゅう,пюу,пюу
ぴょう,пёо,пёо
ぴょお,пёо,пёо
ぺい,пэи,пэй
ま,ма,ма
み,ми,мй
む,му,му
め,мэ,мэ
も,мо,мо
みゃ,мя,мя
みゅ,мю,мю
みょ,мё,мё
まあ,маa,маa
みい,мии,мий
むう,муу,муу
めえ,мээ,мээ
もう,моо,моо
もお,моо,моо
みゃあ,мяa,мяa
みゅう,мюу,мюу
みょう,мёо,мёо
みょお,мёо,мёо
めい,мэи,мэй
や,я,я
ゆ,ю,ю
よ,ё,ё
やあ,яa,яa
ゆう,юу,юу
よう,ёо,ёо
よお,ёо,ёо
ら,ра,ра
り,ри,рй
る,ру,ру
れ,рэ,рэ
ろ,ро,ро
りゃ,ря,ря
りゅ,рю,рю
りょ,рё,рё
らあ,раa,раa
りい,рии,рий
るう,руу,руу
れえ,рээ,рээ
ろう,роо,роо
ろお,роо,роо
りゃあ,ряa,ряa
りゅう,рюу,рюу
りょう,рёо,рёо
りょお,рёо,рёо
れい,рэи,рэй
わ,ва,ва
うぃ,ви,вй
うぇ,вэ,вэ
うぉ,во,во
わあ,ваa,ваa
うぃい,вии,вий
うぇえ,вээ,вээ
うぉう,воо,воо
うぉお,воо,воо
うぇい,вэи,вэй
ん,н,н
を,о,о
っ,,
んあ,нъа,нъа
んい,нъи,нъй
んう,нъу,нъу
んえ,нъэ,нъэ
んお,нъо,нъо
んや,нъя,нъя
んゆ,нъю,нъю
んよ,нъё,нъё
んああ,нъаa,нъаa
んいい,нъии,нъий
んうう,нъуу,нъуу
んええ,нъээ,нъээ
んおう,нъоо,нъоо
んおお,нъоо,нъоо
んやあ,нъяa,нъяa
んゆう,нъюу,нъюу
んよう,нъёо,нъёо
んよお,нъёо,нъёо
んえい,нъэи,нъэй
っか,кка,кка
っき,кки,ккй
っく,кку,кку
っけ,ккэ,ккэ
っこ,кко,кко
っきゃ,ккя,ккя
っきゅ,ккю,ккю
っきょ,ккё,ккё
っかあ,ккаa,ккаa
っきい,ккии,ккий
っくう,ккуу,ккуу
っけえ,ккээ,ккээ
っこう,ккоо,ккоо
っこお,ккоо,ккоо
っきゃあ,ккяa,ккяa
っきゅう,ккюу,ккюу
っきょう,ккёо,ккёо
っきょお,ккёо,ккёо
っけい,ккэи,ккэй
っさ,сса,сса
っすぃ,сси,ссй
っす,ссу,ссу
っせ,ссэ,ссэ
っそ,ссо,ссо
っさあ,ссаa,ссаa
っすぃい,ссии,ссий
っすう,ссуу,ссуу
っせえ,ссээ,ссээ
っそう,ссоо,ссоо
っそお,ссоо,ссоо
っせい,ссэи,ссэй
っしゃ,сся,сся
っし,сси,ссй
っしゅ,ссю,ссю
っしぇ,ссэ,ссэ
っしょ,ссё,ссё
っしゃあ,ссяa,ссяa
っしい,ссии,ссий
っしゅう,ссюу,ссюу
っしぇえ,ссээ,ссээ
っしょう,ссёо,ссёо
っしょお,ссёо,ссёо
っしぇい,ссэи,ссэй
った,тта,тта
ってぃ,тти,ттй
っとぅ,тту,тту
って,ттэ,ттэ
っと,тто,тто
ったあ,ттаa,ттаa
ってぃい,ттии,ттий
っとぅう,ттуу,ттуу
ってえ,ттээ,ттээ
っとう,ттоо,ттоо
っとお,ттоо,ттоо
ってい,ттэи,ттэй
っちゃ,ття,ття
っち,тти,ттй
っちゅ,ттю,ттю
っちぇ,ттэ,ттэ
っちょ,ттё,ттё
っちゃあ,ттяa,ттяa
っちい,ттии,ттий
っちゅう,ттюу,ттюу
っちぇえ,ттээ,ттээ
っちょう,ттёо,ттёо
っちょお,ттёо,ттёо
っちぇい,ттэи,ттэй
っつぁ,цца,цца
っつぃ,цци,ццй
っつ,ццу,ццу
っつぇ,ццэ,ццэ
っつぉ,ццо,ццо
っつぁあ,ццаa,ццаa
っつぃい,цции,цций
っつう,ццуу,ццуу
っつぇえ,ццээ,ццээ
っつぉう,ццоо,ццоо
っつぉお,ццоо,ццоо
っつぇい,ццэи,ццэй
っぱ,ппа,ппа
っぴ,ппи,ппй
っぷ,ппу,ппу
っぺ,ппэ,ппэ
っぽ,ппо,ппо
っぴゃ,ппя,ппя
っぴゅ,ппю,ппю
っぴょ,ппё,ппё
っぱあ,ппаa,ппаa
っぴい,ппии,ппий
っぷう,ппуу,ппуу
っぺえ,ппээ,ппээ
っぽう,ппоо,ппоо
っぽお,ппоо,ппоо
っぴゃあ,ппяa,ппяa
っぴゅう,ппюу,ппюу
っぴょう,ппёо,ппёо
っぴょお,ппёо,ппёо
っぺい,ппэи,ппэй
ぁ,а,а
ぃ,и,й
ぅ,у,у
ぇ,э,э
ぉ,о,о
ゃ,я,я
ゅ,ю,ю
ょ,ё,ё
ぁあ,аa,аa
ぃい,ии,ий
ぅう,уу,уу
ぇえ,ээ,ээ
ぉう,оо,оо
ぉお,оо,оо
ゃあ,яa,яa
ゅう,юу,юу
ょう,ёо,ёо
ょお,ёо,ёо
ぇい,эи,эй
ゔぁ,ва,ва
ゔぃ,ви,вй
ゔ,ву,ву
ゔぇ,вэ,вэ
ゔぉ,во,во
ゔぁあ,ваa,ваa
ゔぃい,вии,вий
ゔう,вуу,вуу
ゔぇえ,вээ,вээ
ゔぉう,воо,воо
ゔぉお,воо,воо
ゔぇい,вэи,вэй